,SUHI_day,SUHI_night,AUHI,UTFVI_day,UTFVI_night
Elevation,1.6418,1.1964,0.7329,0.0042,0.0027
humidity,0.4059,0.1803,1.5829,0.0008,0.0005
air_temperature,0.5705,0.09,1.4788,0.0008,0.0003
month_cos,0.1928,0.1135,0.9496,0.0006,0.0003
MNDWI,0.5336,0.2654,0.3381,0.0018,0.0009
month_sin,0.25,0.0641,0.8077,0.0006,0.0002
Albedo,0.4965,0.5069,0.1108,0.0016,0.0017
SAVI,0.5196,0.4027,0.1285,0.0019,0.0015
NDBI,0.7669,0.1553,0.1018,0.0037,0.0009
LC_50,0.6729,0.2802,0.008,0.0017,0.0014
cloud_cover_low,0.223,0.1297,0.1785,0.0004,0.0003
LC_10,0.2965,0.1789,0.0171,0.0014,0.0005
wind_speed,0.0994,0.0659,0.1903,0.0003,0.0002
precipitation,0.0546,0.0173,0.2219,0.0002,0.0001
LC_80,0.0736,0.0434,0.0016,0.0003,0.0001
LC_30,0.0652,0.0095,0.004,0.0001,0.0
LC_60,0.0576,0.0102,0.001,0.0004,0.0
LC_40,0.0123,0.0122,0.0006,0.0,0.0
LC_90,0.0143,0.0016,0.0002,0.0,0.0
LC_20,0.0038,0.001,0.0001,0.0,0.0
LC_95,0.0008,0.0001,0.0,0.0,0.0
LC_100,0.0,0.0,0.0,0.0,0.0
