model,target,R2_train,R2_test,R2_gap,MAE_train,MAE_test,RMSE_test
Linear Regression,SUHI_day,0.481,0.491,-0.011,2.779,2.865,3.907
Linear Regression,SUHI_night,0.385,0.402,-0.017,1.748,1.893,2.484
Linear Regression,AUHI,0.489,0.513,-0.025,2.484,2.487,3.233
Ridge Regression,SUHI_day,0.481,0.491,-0.01,2.779,2.866,3.908
Ridge Regression,SUHI_night,0.383,0.401,-0.019,1.746,1.891,2.486
Ridge Regression,AUHI,0.489,0.513,-0.025,2.484,2.487,3.233
Random Forest,SUHI_day,0.98,0.74,0.24,0.471,1.66,2.793
Random Forest,SUHI_night,0.983,0.797,0.187,0.268,1.003,1.448
Random Forest,AUHI,0.995,0.966,0.03,0.168,0.43,0.861
Gradient Boosting,SUHI_day,0.871,0.729,0.142,1.33,1.832,2.851
Gradient Boosting,SUHI_night,0.882,0.787,0.095,0.747,1.081,1.484
Gradient Boosting,AUHI,0.985,0.976,0.008,0.392,0.466,0.713
XGBoost,SUHI_day,0.937,0.746,0.191,0.933,1.721,2.763
XGBoost,SUHI_night,0.938,0.798,0.141,0.54,1.035,1.445
XGBoost,AUHI,0.996,0.987,0.009,0.197,0.312,0.522
